school,sex,age,Pstatus,studytime,failures,schoolsup,famsup,paid,higher,Dalc,Walc,health,absences,G1,G2,G3,Average,Result
GP,F,15,T,1,0,no,no,yes,yes,1,3,1,4,80,85,90,85,Pass
GP,F,16,T,2,0,yes,yes,no,yes,2,3,2,4,35,30,30,31.666667,Fail
GP,F,16,T,2,0,no,yes,yes,yes,1,1,1,0,55,50,50,51.666667,Pass
GP,M,15,T,4,0,no,yes,no,yes,1,1,4,6,55,65,70,63.333333,Pass
GP,F,15,T,4,1,yes,yes,yes,yes,1,1,1,2,35,50,50,45,Fail
GP,M,16,T,1,0,yes,yes,no,yes,1,1,4,2,55,75,75,68.333333,Pass
GP,F,16,T,2,0,no,yes,yes,yes,1,1,5,2,40,45,50,45,Fail
GP,F,16,T,1,0,no,no,no,yes,1,2,1,6,55,70,70,65,Pass
GP,F,16,T,3,0,yes,yes,yes,yes,1,1,3,0,35,45,40,40,Fail
GP,M,16,T,1,0,yes,yes,yes,yes,5,5,4,14,35,35,25,31.666667,Fail
GP,M,16,T,3,0,no,yes,no,yes,1,1,4,0,80,85,85,83.333333,Pass
GP,M,15,T,1,0,no,yes,no,yes,1,1,5,4,50,65,70,61.666667,Pass
GP,M,15,A,2,0,no,yes,yes,yes,1,1,1,0,80,90,90,86.666667,Pass
GP,F,15,A,4,0,yes,no,no,yes,1,1,4,10,50,55,55,53.333333,Pass
GP,F,15,T,4,0,yes,yes,yes,yes,1,1,3,8,35,40,40,38.333333,Fail
GP,M,16,T,3,0,no,yes,no,yes,1,1,5,2,80,90,90,86.666667,Pass
GP,M,15,T,4,0,no,yes,yes,yes,3,5,1,6,50,65,65,60,Pass
GP,F,16,T,3,0,no,yes,yes,yes,1,1,4,4,70,75,80,75,Pass
GP,M,15,A,1,0,no,no,no,yes,1,1,4,6,90,95,95,93.333333,Pass
GP,F,16,T,3,1,yes,yes,no,yes,1,1,2,0,35,50,50,45,Fail
GP,F,16,T,2,1,yes,no,no,yes,1,1,5,6,50,65,65,60,Pass
GP,M,15,T,1,0,no,no,no,yes,1,1,3,10,90,95,95,93.333333,Pass
GP,M,15,T,2,0,no,no,no,yes,1,1,5,8,45,45,45,45,Fail
GP,M,16,T,2,0,no,yes,no,yes,1,2,5,2,75,75,80,76.666667,Pass
GP,M,15,T,2,0,no,yes,no,yes,1,1,2,2,55,65,70,63.333333,Pass
GP,M,16,T,1,0,no,no,no,yes,1,1,5,0,65,70,65,66.666667,Pass
GP,M,17,T,2,1,no,yes,no,yes,1,4,5,20,45,35,40,40,Fail
GP,M,15,T,1,0,no,no,no,yes,1,2,4,6,70,65,65,66.666667,Pass
GP,F,15,T,2,0,no,no,no,yes,1,2,1,2,80,75,75,76.666667,Pass
GP,M,15,T,4,0,no,yes,yes,yes,1,2,5,6,80,70,75,75,Pass
GP,F,16,T,2,0,no,yes,yes,yes,1,2,5,2,65,65,65,65,Pass
GP,M,16,T,1,0,no,yes,no,yes,1,4,5,18,70,55,65,63.333333,Pass
GP,F,16,T,2,0,no,no,yes,yes,1,1,5,0,40,35,40,38.333333,Fail
GP,M,15,T,1,0,yes,no,no,yes,3,2,5,0,65,65,60,63.333333,Pass
GP,F,15,A,2,0,yes,no,no,yes,1,1,1,0,35,50,55,46.666667,Fail
GP,F,19,T,2,3,no,yes,no,no,1,1,5,2,35,40,45,40,Fail
GP,M,18,T,1,2,no,yes,no,yes,1,2,4,0,35,20,0,18.333333,Fail
GP,M,16,T,1,0,no,no,yes,yes,2,5,4,8,90,90,90,90,Pass
GP,F,15,T,3,2,no,yes,no,yes,2,2,5,0,60,0,0,20,Fail
GP,F,15,T,1,0,no,yes,no,yes,1,2,4,0,40,0,0,13.333333,Fail
GP,F,17,T,1,0,no,yes,no,yes,1,3,5,12,50,65,60,58.333333,Pass
GP,F,16,A,1,0,no,no,no,yes,1,4,5,16,60,55,55,56.666667,Pass
GP,M,15,T,2,0,no,yes,no,yes,1,1,5,0,45,0,0,15,Fail
GP,F,15,T,3,0,no,yes,no,yes,1,1,5,0,55,0,0,18.333333,Fail
GP,M,17,T,2,0,no,no,no,yes,2,4,5,0,50,0,0,16.666667,Fail
GP,F,16,A,1,2,no,yes,no,yes,1,1,5,0,20,0,0,6.666667,Fail
GP,M,16,T,2,1,no,no,no,yes,1,3,5,0,70,60,60,63.333333,Pass
GP,F,15,T,1,0,no,no,no,yes,1,1,5,0,80,80,75,78.333333,Pass
GP,M,15,T,4,0,yes,yes,no,yes,1,1,3,0,35,45,0,26.666667,Fail
GP,M,16,T,1,2,no,yes,no,yes,2,2,2,8,45,45,45,45,Fail
GP,F,15,T,3,0,no,yes,yes,yes,1,1,5,2,45,55,55,51.666667,Pass
GP,F,16,T,1,0,no,no,no,yes,3,3,1,2,70,70,65,68.333333,Pass
GP,M,17,T,1,3,no,yes,no,yes,1,2,5,0,25,0,0,8.333333,Fail
GP,F,15,T,2,0,no,yes,yes,yes,1,2,5,0,40,55,55,50,Fail
GP,F,15,T,2,3,no,yes,no,yes,1,1,3,0,30,35,0,21.666667,Fail
GP,F,15,T,2,0,no,yes,yes,yes,1,1,5,2,50,55,55,53.333333,Pass
GP,M,16,T,1,0,no,yes,no,no,2,1,5,0,35,30,0,21.666667,Fail
GP,M,15,A,1,3,no,no,no,yes,2,5,5,0,40,45,50,45,Fail
GP,M,18,T,1,3,no,no,no,no,2,5,4,0,30,25,0,18.333333,Fail
GP,M,16,T,1,1,no,no,no,yes,3,5,5,6,60,65,70,65,Pass
GP,F,15,T,3,2,no,yes,yes,yes,2,3,3,8,50,50,50,50,Fail
GP,M,19,T,1,3,no,yes,no,no,1,1,4,0,25,0,0,8.333333,Fail
GP,F,17,T,1,0,yes,yes,no,yes,1,1,4,0,55,55,60,56.666667,Pass
GP,M,15,T,2,0,yes,no,yes,yes,1,1,1,2,55,40,40,45,Fail
GP,M,17,T,1,0,no,no,no,yes,3,3,5,8,80,60,65,68.333333,Pass
GP,F,18,T,1,3,no,yes,no,yes,1,5,4,6,45,40,50,45,Fail
GP,M,16,T,1,0,no,no,no,yes,1,2,3,2,85,75,75,78.333333,Pass
GP,M,16,T,2,1,no,yes,yes,yes,4,4,5,4,50,60,60,56.666667,Pass
GP,M,17,T,1,2,no,no,no,no,2,2,5,0,35,30,0,21.666667,Fail
GP,M,15,T,2,2,yes,yes,no,yes,1,4,3,6,25,45,35,35,Fail
GP,M,16,T,1,1,no,no,no,yes,2,4,5,0,35,0,0,11.666667,Fail
GP,M,17,T,1,0,no,no,no,no,1,4,2,2,50,50,50,50,Fail
GP,M,17,T,2,3,no,no,no,no,1,5,5,0,25,40,35,33.333333,Fail
GP,M,16,T,1,1,no,yes,no,no,1,1,2,16,60,55,60,58.333333,Pass
GP,M,16,T,2,0,no,no,no,no,2,4,4,4,50,50,50,50,Fail
GP,F,16,T,2,0,no,no,yes,yes,1,1,3,0,70,75,80,75,Pass
GP,F,16,T,2,0,no,yes,yes,yes,1,1,4,0,30,35,0,21.666667,Fail
GP,F,16,T,2,0,no,yes,yes,yes,1,1,3,0,70,70,70,70,Pass
GP,M,16,T,1,2,no,yes,no,yes,2,4,2,0,30,25,0,18.333333,Fail
GP,M,16,T,2,0,no,yes,yes,yes,1,1,3,2,65,75,80,73.333333,Pass
GP,M,17,T,2,0,no,yes,yes,yes,1,3,5,0,65,55,50,56.666667,Pass
GP,F,16,T,2,3,no,no,no,yes,1,1,3,0,40,35,0,25,Fail
GP,F,16,T,2,0,no,yes,yes,yes,1,1,4,4,50,55,45,50,Fail
GP,M,17,T,2,0,no,no,yes,yes,4,4,4,4,50,45,45,46.666667,Fail
GP,F,16,T,2,0,no,no,yes,yes,1,4,5,2,65,65,55,61.666667,Pass
GP,M,17,T,2,0,no,no,no,yes,1,4,4,4,30,25,30,28.333333,Fail
GP,M,16,T,1,0,no,yes,no,yes,3,4,3,10,50,40,45,45,Fail
GP,M,17,T,2,0,no,yes,no,yes,1,1,2,4,50,50,55,51.666667,Pass
GP,M,16,T,2,0,no,yes,yes,yes,2,3,3,10,45,40,40,41.666667,Fail
GP,M,16,T,2,0,no,no,yes,yes,1,2,3,2,60,65,60,61.666667,Pass
GP,F,17,T,2,0,no,yes,no,yes,2,3,5,0,80,85,85,83.333333,Pass
GP,F,17,T,2,0,no,yes,no,yes,2,3,1,56,45,45,40,43.333333,Fail
GP,F,16,T,2,0,no,yes,yes,yes,1,2,1,14,60,65,60,61.666667,Pass
GP,M,17,T,2,0,no,yes,no,yes,2,3,4,12,60,60,55,58.333333,Pass
GP,M,16,T,1,0,no,yes,yes,yes,1,2,3,2,55,60,55,56.666667,Pass
GP,M,16,T,2,0,no,no,yes,yes,1,2,5,0,75,75,75,75,Pass
GP,F,17,A,2,0,no,yes,no,yes,1,3,3,6,40,35,45,40,Fail
GP,M,17,T,2,0,no,no,no,yes,1,5,3,4,40,45,50,45,Fail
GP,F,16,T,2,0,no,no,no,yes,1,1,2,10,55,60,65,60,Pass
GP,F,17,T,2,0,no,no,no,yes,1,1,3,0,40,40,45,41.666667,Fail
GP,M,17,T,2,0,no,no,yes,yes,4,5,5,12,35,40,40,38.333333,Fail
GP,M,16,T,1,0,no,yes,no,yes,3,4,5,8,40,45,50,45,Fail
GP,M,16,T,1,0,no,no,no,yes,1,1,3,0,65,70,70,68.333333,Pass
GP,F,17,T,2,0,no,no,no,yes,1,1,5,0,70,75,75,73.333333,Pass
GP,M,17,T,1,0,no,no,no,yes,1,2,5,4,85,75,80,80,Pass
GP,M,16,T,1,0,no,yes,yes,yes,3,5,3,8,45,45,50,46.666667,Fail
GP,F,17,T,1,1,no,yes,no,yes,2,3,2,24,90,90,90,90,Pass
GP,F,16,T,2,0,no,yes,yes,yes,1,2,3,0,45,45,50,46.666667,Fail
GP,F,16,T,2,0,no,yes,no,yes,1,5,2,2,80,80,80,80,Pass
GP,F,16,T,2,0,yes,yes,yes,yes,1,3,4,6,40,50,50,46.666667,Fail
GP,F,17,T,2,0,no,yes,yes,yes,1,3,1,4,45,45,50,46.666667,Fail
GP,F,17,T,1,0,no,yes,no,yes,1,2,3,18,35,30,30,31.666667,Fail
GP,F,16,T,4,0,no,yes,yes,yes,1,1,5,6,50,50,55,51.666667,Pass
GP,F,16,A,2,3,no,yes,yes,yes,2,2,4,5,35,35,35,35,Fail
GP,F,16,T,2,0,no,no,yes,yes,1,1,1,10,55,60,65,60,Pass
GP,F,16,T,1,0,no,yes,yes,yes,1,4,5,6,45,45,50,46.666667,Fail
GP,F,17,T,3,0,no,yes,yes,yes,1,1,4,6,35,35,35,35,Fail
GP,F,19,T,4,0,no,yes,yes,yes,1,2,3,10,40,40,40,40,Fail
GP,M,17,T,2,0,no,yes,yes,yes,4,5,3,13,60,60,65,61.666667,Pass
GP,F,16,A,2,0,yes,yes,yes,yes,1,1,4,0,60,65,70,65,Pass
GP,M,18,T,2,1,no,yes,yes,yes,2,4,5,15,30,35,40,35,Fail
GP,F,17,T,1,0,no,yes,yes,yes,1,2,3,12,40,50,50,46.666667,Fail
GP,F,17,T,2,0,no,no,yes,yes,1,3,1,2,70,75,75,73.333333,Pass
GP,F,17,T,2,2,no,no,yes,yes,2,4,1,22,30,30,20,26.666667,Fail
GP,M,18,T,2,1,no,yes,yes,yes,2,4,4,13,30,30,40,33.333333,Fail
GP,F,17,T,1,0,no,yes,yes,yes,1,4,3,3,35,35,40,36.666667,Fail
GP,F,17,T,3,0,no,yes,yes,yes,1,1,4,4,45,50,50,48.333333,Fail
GP,F,17,T,2,0,no,yes,no,yes,1,2,5,2,30,30,30,30,Fail
GP,F,17,T,3,1,no,yes,no,yes,1,1,5,0,30,25,0,18.333333,Fail
GP,F,16,T,2,0,yes,no,no,yes,1,1,3,2,80,80,85,81.666667,Pass
GP,M,18,T,2,0,no,yes,yes,yes,5,5,4,0,60,65,65,63.333333,Pass
GP,F,16,T,3,0,no,yes,no,yes,1,1,5,0,65,65,70,66.666667,Pass
GP,F,18,T,2,1,no,no,no,yes,1,1,4,16,45,40,35,40,Fail
GP,F,17,T,2,0,no,no,no,yes,1,3,3,10,80,75,75,76.666667,Pass
GP,M,17,T,2,0,no,yes,yes,yes,1,3,3,2,60,55,60,58.333333,Pass
GP,M,18,T,2,0,yes,yes,yes,yes,4,5,3,14,50,40,45,45,Fail
GP,F,17,A,3,0,no,no,no,yes,1,2,3,10,60,50,60,56.666667,Pass
GP,F,17,T,2,0,no,no,no,yes,1,2,3,14,65,65,70,66.666667,Pass
GP,M,17,T,2,0,no,yes,yes,yes,1,1,1,4,55,55,55,55,Pass
GP,M,17,T,2,0,yes,yes,no,yes,1,3,2,14,55,45,45,48.333333,Fail
GP,M,16,T,2,0,no,yes,yes,yes,2,4,1,2,70,65,65,66.666667,Pass
GP,M,16,T,2,0,no,yes,yes,yes,1,1,5,18,45,35,30,36.666667,Fail
GP,M,16,T,3,0,no,no,no,yes,1,3,2,10,55,45,50,50,Fail
GP,M,17,T,2,0,no,no,yes,yes,5,5,4,4,70,65,65,66.666667,Pass
GP,F,16,T,1,0,no,no,no,yes,1,1,5,20,65,60,60,61.666667,Pass
GP,F,17,T,2,0,no,no,no,yes,1,1,3,2,65,55,55,58.333333,Pass
GP,M,18,T,2,1,no,no,no,no,3,5,2,0,35,35,0,23.333333,Fail
GP,M,17,T,2,0,no,no,no,yes,1,4,5,14,60,60,60,60,Pass
GP,M,17,A,2,0,no,yes,yes,yes,2,3,4,2,50,55,60,55,Pass
GP,M,16,T,1,0,no,no,no,yes,1,1,3,0,30,0,0,10,Fail
GP,M,16,T,1,0,no,no,no,yes,1,2,5,0,65,60,60,61.666667,Pass
GP,F,18,T,3,0,no,yes,yes,yes,1,1,3,0,35,0,0,11.666667,Fail
GP,M,16,T,1,0,no,no,no,yes,1,1,4,6,90,90,90,90,Pass
GP,M,17,T,1,0,no,no,no,yes,1,1,2,4,60,60,65,61.666667,Pass
GP,M,22,T,1,3,no,no,no,no,5,5,1,16,30,40,40,36.666667,Fail
GP,M,18,T,2,1,no,yes,no,yes,1,3,5,8,15,25,25,21.666667,Fail
GP,M,16,T,1,0,no,no,yes,yes,2,4,5,0,65,75,75,71.666667,Pass
GP,M,18,T,1,1,no,no,no,no,2,4,5,0,30,40,40,36.666667,Fail
GP,M,16,T,2,0,yes,yes,no,yes,1,3,2,6,35,50,50,45,Fail
GP,M,18,T,1,1,no,no,no,no,2,5,5,4,30,45,40,38.333333,Fail
GP,M,16,T,1,0,no,no,no,yes,1,3,3,0,40,45,40,41.666667,Fail
GP,M,17,T,1,0,no,no,no,yes,2,4,5,0,40,60,60,53.333333,Pass
GP,M,17,T,1,1,no,yes,no,yes,1,2,5,2,35,45,40,40,Fail
GP,F,17,T,4,0,no,yes,yes,yes,1,1,4,6,70,60,65,65,Pass
GP,M,19,A,2,0,no,yes,no,yes,1,1,1,12,55,55,55,55,Pass
GP,M,18,T,2,0,no,no,no,yes,1,2,4,8,75,70,70,71.666667,Pass
GP,F,17,T,4,0,no,no,yes,yes,1,1,2,0,50,45,0,31.666667,Fail
GP,F,18,T,2,0,no,yes,yes,yes,1,3,2,21,85,90,90,88.333333,Pass
GP,M,18,T,2,0,no,yes,yes,yes,1,1,3,2,40,40,40,40,Fail
GP,M,18,T,3,0,no,no,no,yes,1,1,3,1,65,60,60,61.666667,Pass
GP,F,17,T,3,0,no,no,no,yes,1,1,4,4,50,45,45,46.666667,Fail
GP,F,18,T,3,0,no,yes,yes,yes,1,1,3,0,45,50,0,31.666667,Fail
GP,M,18,A,2,0,no,yes,yes,yes,3,4,1,13,85,85,85,85,Pass
GP,M,17,T,2,0,no,no,yes,yes,3,4,5,2,45,45,50,46.666667,Fail
GP,F,18,T,2,0,no,no,yes,yes,2,2,4,8,60,50,55,55,Pass
GP,M,18,T,2,0,no,yes,yes,yes,1,3,5,10,50,45,50,48.333333,Fail
GP,F,18,T,2,0,no,yes,no,no,1,2,3,0,30,0,0,10,Fail
GP,F,19,T,2,2,no,yes,yes,yes,3,3,5,15,45,45,45,45,Fail
GP,F,18,T,4,0,no,yes,yes,yes,1,3,2,4,75,70,70,71.666667,Pass
GP,F,18,T,2,0,no,yes,yes,yes,1,1,3,2,55,55,55,55,Pass
GP,M,17,T,2,0,no,yes,yes,yes,2,2,1,2,75,70,70,71.666667,Pass
GP,F,17,T,2,0,no,yes,yes,yes,1,1,1,2,50,50,50,50,Fail
GP,F,17,T,2,0,yes,yes,yes,yes,2,3,5,6,60,60,60,60,Pass
GP,F,18,A,2,0,no,no,no,no,1,1,5,75,50,45,45,46.666667,Fail
GP,M,18,T,1,0,no,no,yes,yes,1,4,3,22,45,45,45,45,Fail
GP,F,18,T,2,1,yes,yes,no,yes,1,1,4,15,45,40,40,41.666667,Fail
GP,M,18,T,1,0,no,no,yes,yes,1,2,1,8,50,55,50,51.666667,Pass
GP,M,17,A,1,1,no,no,no,yes,3,4,3,19,55,45,50,50,Fail
GP,F,18,T,4,0,no,yes,yes,yes,1,1,3,1,60,60,60,60,Pass
GP,F,18,T,2,0,yes,no,no,yes,1,1,4,4,40,45,50,45,Fail
GP,F,17,T,2,0,no,yes,no,yes,1,2,5,4,50,45,55,50,Fail
GP,M,17,T,2,0,no,no,yes,yes,1,2,4,2,60,50,55,55,Pass
GP,F,18,T,3,0,no,yes,yes,yes,1,2,2,5,90,90,95,91.666667,Pass
GP,F,17,T,3,0,no,yes,yes,yes,1,1,3,6,65,60,60,61.666667,Pass
GP,M,18,T,3,0,no,no,yes,yes,1,3,2,6,75,70,70,71.666667,Pass
GP,M,18,A,2,0,no,yes,yes,yes,1,1,2,9,75,65,75,71.666667,Pass
GP,M,18,T,2,0,no,yes,yes,yes,1,4,5,11,60,55,55,56.666667,Pass
GP,F,17,T,3,0,no,yes,yes,yes,1,2,3,0,75,75,75,75,Pass
GP,F,18,T,2,1,no,no,no,yes,1,1,5,12,60,60,65,61.666667,Pass
GP,F,17,T,4,0,no,yes,yes,yes,1,1,3,6,90,90,90,90,Pass
GP,M,18,T,3,0,no,yes,yes,yes,1,1,4,8,70,65,70,68.333333,Pass
GP,M,17,T,1,0,no,yes,yes,yes,1,3,5,4,70,60,55,61.666667,Pass
GP,F,19,T,2,0,no,yes,yes,yes,2,3,2,0,50,45,0,31.666667,Fail
GP,F,18,T,2,0,no,yes,yes,yes,1,2,2,10,50,40,40,43.333333,Fail
GP,F,18,T,4,0,no,yes,yes,yes,1,1,3,0,70,65,70,68.333333,Pass
GP,M,18,T,1,0,no,yes,yes,yes,2,2,1,5,80,75,80,78.333333,Pass
GP,F,18,A,2,0,no,yes,no,yes,1,1,4,14,60,50,55,55,Pass
GP,M,17,T,1,0,no,no,yes,yes,2,2,5,0,55,55,50,53.333333,Pass
GP,F,17,T,3,0,no,yes,yes,yes,1,1,3,0,75,60,70,68.333333,Pass
GP,F,17,T,4,0,no,yes,yes,yes,1,2,5,0,85,85,90,86.666667,Pass
GP,M,19,T,2,1,no,yes,no,yes,1,1,3,20,75,70,65,70,Pass
GP,F,18,T,2,1,no,yes,yes,yes,1,1,3,8,70,60,60,63.333333,Pass
GP,M,20,A,1,0,no,no,no,yes,1,1,5,0,85,90,90,88.333333,Pass
GP,M,19,T,2,1,no,no,no,yes,1,2,5,0,75,60,60,65,Pass
GP,F,19,T,2,1,yes,yes,no,yes,1,3,3,18,60,50,50,53.333333,Pass
GP,F,19,T,2,1,no,no,no,yes,2,2,3,0,45,45,0,30,Fail
GP,F,19,T,2,0,no,yes,no,no,1,1,2,20,70,60,65,65,Pass
